giornata,squadra,titolare
3,Empoli,VASQUEZ D.
3,Lecce,FALCONE
3,Lecce,GUILBERT
3,Lecce,BASCHIROTTO
3,Lecce,GASPAR K.
3,Lecce,GALLO
3,Lecce,RAMADANI
3,Lecce,PIERRET
3,Lecce,BANDA
3,Lecce,OUDIN
3,Lecce,DORGU
3,Lecce,KRSTOVIC
3,Cagliari,PICCOLI
3,Cagliari,LUVUMBO
3,Cagliari,AUGELLO
3,Cagliari,MARIN
3,Cagliari,PRATI
3,Cagliari,DEIOLA
3,Cagliari,AZZI
3,Cagliari,LUPERTO
3,Cagliari,MINA
3,Cagliari,ZAPPA
3,Cagliari,SCUFFET
3,Lazio,PROVEDEL
3,Lazio,LAZZARI
3,Lazio,PATRIC
3,Lazio,ROMAGNOLI
3,Lazio,TAVARES N.
3,Lazio,GUENDOUZI
3,Lazio,ROVELLA
3,Lazio,ZACCAGNI
3,Lazio,DIA
3,Lazio,TCHAOUNA
3,Lazio,CASTELLANOS
3,Milan,OKAFOR
3,Milan,PULISIC
3,Milan,LOFTUS-CHEEK
3,Milan,CHUKWUEZE
3,Milan,REIJNDERS
3,Milan,FOFANA Y.
3,Milan,TERRACCIANO F.
3,Milan,PAVLOVIC
3,Milan,TOMORI
3,Milan,EMERSON ROYAL
3,Milan,MAIGNAN
3,Napoli,MERET
3,Napoli,DI LORENZO
3,Napoli,RRAHMANI
3,Napoli,BUONGIORNO
3,Napoli,MAZZOCCHI
3,Napoli,LOBOTKA
3,Napoli,ZAMBO ANGUISSA
3,Napoli,OLIVERA
3,Napoli,POLITANO
3,Napoli,KVARATSKHELIA
3,Napoli,RASPADORI
3,Parma,BONNY
3,Parma,MIHAILA
3,Parma,KOWALSKI
3,Parma,MAN
3,Parma,BERNABE'
3,Parma,SOHM
3,Parma,VALERI
3,Parma,CIRCATI
3,Parma,BALOGH
3,Parma,COULIBALY W.
3,Parma,SUZUKI
3,Fiorentina,TERRACCIANO
3,Fiorentina,COMUZZO
3,Fiorentina,RANIERI L.
3,Fiorentina,BIRAGHI
3,Fiorentina,DODO'
3,Fiorentina,CATALDI
3,Fiorentina,MANDRAGORA
3,Fiorentina,GOSENS
3,Fiorentina,COLPANI
3,Fiorentina,BELTRAN L.
3,Fiorentina,KEAN
3,Monza,DJURIC
3,Monza,MALDINI
3,Monza,CAPRARI
3,Monza,KYRIAKOPOULOS
3,Monza,PESSINA
3,Monza,BONDO
3,Monza,PEREIRA P.
3,Monza,CARBONI A.
3,Monza,MARI'
3,Monza,IZZO
3,Monza,TURATI
3,Genoa,GOLLINI
3,Genoa,DE WINTER
3,Genoa,VOGLIACCO
3,Genoa,VASQUEZ
3,Genoa,SABELLI
3,Genoa,FRENDRUP
3,Genoa,BADELJ
3,Genoa,MESSIAS
3,Genoa,MARTIN
3,Genoa,PINAMONTI
3,Genoa,VITINHA O.
3,Verona,TENGSTEDT
3,Verona,LAZOVIC
3,Verona,SUSLOV
3,Verona,HARROUI
3,Verona,BELAHYANE
3,Verona,DUDA
3,Verona,FRESE
3,Verona,DAWIDOWICZ
3,Verona,COPPOLA D.
3,Verona,TCHATCHOUA
3,Verona,MONTIPO'
3,Juventus,DI GREGORIO
3,Juventus,SAVONA
3,Juventus,GATTI
3,Juventus,BREMER
3,Juventus,CAMBIASO
3,Juventus,CABAL
3,Juventus,LOCATELLI
3,Juventus,FAGIOLI
3,Juventus,YILDIZ
3,Juventus,MBANGULA
3,Juventus,VLAHOVIC
3,Roma,DOVBYK
3,Roma,SAELEMAEKERS
3,Roma,SOULE'
3,Roma,PELLEGRINI LO.
3,Roma,CRISTANTE
3,Roma,PISILLI
3,Roma,ANGELINO
3,Roma,N'DICKA
3,Roma,MANCINI
3,Roma,CELIK
3,Roma,SVILAR
3,Udinese,OKOYE
3,Udinese,KABASELE
3,Udinese,BIJOL
3,Udinese,GIANNETTI L.
3,Udinese,EHIZIBUE
3,Udinese,KARLSTROM
3,Udinese,LOVRIC
3,Udinese,ZEMURA
3,Udinese,THAUVIN
3,Udinese,BRENNER
3,Udinese,LUCCA
3,Como,CUTRONE
3,Como,BELOTTI
3,Como,DA CUNHA
3,Como,PERRONE
3,Como,MAZZITELLI
3,Como,STREFEZZA
3,Como,MORENO ALB.
3,Como,KEMPF
3,Como,DOSSENA
3,Como,IOVINE
3,Como,REINA
