giornata,partita,titolari
2,Bologna,Orsolini
2,Bologna,Arnautovic
2,Verona,Henry
2,Verona,Lazovic
2,Verona,Tameze
2,Verona,Ilic
2,Verona,Hongla
2,Verona,Faraoni
2,Verona,Coppola D.
2,Verona,Gunter
2,Verona,Retsos
2,Verona,Montipo'
2,Roma,Rui Patricio
2,Roma,Mancini
2,Roma,Smalling
2,Roma,Ibanez
2,Roma,Karsdorp
2,Roma,Pellegrini Lo.
2,Roma,Cristante
2,Roma,Spinazzola
2,Roma,Dybala
2,Roma,Zaniolo
2,Roma,Abraham
2,Cremonese,Dessers
2,Cremonese,Zanimacchia
2,Cremonese,Valeri
2,Cremonese,Ascacibar
2,Cremonese,Pickel
2,Cremonese,Ghiglione
2,Cremonese,Lochoshvili
2,Cremonese,Chiriches
2,Cremonese,Aiwu
2,Cremonese,Radu I.
2,Sampdoria,Audero
2,Sampdoria,Bereszynski
2,Sampdoria,Ferrari A.
2,Sampdoria,Colley
2,Sampdoria,Augello
2,Sampdoria,Vieira
2,Sampdoria,Rincon
2,Sampdoria,Leris
2,Sampdoria,Sabiri
2,Sampdoria,Djuricic
2,Sampdoria,Caputo
2,Juventus,Vlahovic
2,Juventus,Cuadrado
2,Juventus,Rabiot
2,Juventus,Locatelli
2,Juventus,Mckennie
2,Juventus,Alex Sandro
2,Juventus,Bremer
2,Juventus,Rugani
2,Juventus,Danilo
2,Juventus,Perin
3,Monza,Di Gregorio
3,Monza,Caldirola
3,Monza,Marrone
3,Monza,Carlos Augusto
3,Monza,Birindelli
3,Monza,Colpani
3,Monza,Sensi
3,Monza,Valoti
3,Monza,Molina S.
3,Monza,Petagna
3,Monza,Caprari
3,Udinese,Beto
3,Udinese,Udogie
3,Udinese,Lovric
3,Udinese,Walace
3,Udinese,Makengo
3,Udinese,Pereyra
3,Udinese,Masina
3,Udinese,Nuytinck
3,Udinese,Rodrigo Becao
3,Udinese,Silvestri
3,Lazio,Provedel
3,Lazio,Lazzari
3,Lazio,Patric
3,Lazio,Romagnoli
3,Lazio,Marusic
3,Lazio,Milinkovic-Savic
3,Lazio,Cataldi
3,Lazio,Vecino
3,Lazio,Felipe Anderson
3,Lazio,Immobile
3,Lazio,Zaccagni
3,Inter,Lukaku
3,Inter,Dimarco
3,Inter,Gagliardini
3,Inter,Brozovic
3,Inter,Barella
3,Inter,Dumfries
3,Inter,Bastoni
3,Inter,De Vrij
3,Inter,Skriniar
3,Inter,Handanovic
3,Cremonese,Radu I.
3,Cremonese,Bianchetti
3,Cremonese,Aiwu
3,Cremonese,Vasquez
3,Cremonese,Baez
3,Cremonese,Pickel
3,Cremonese,Escalante
3,Cremonese,Valeri
3,Cremonese,Zanimacchia
3,Cremonese,Okereke
3,Cremonese,Dessers
3,Torino,Vlasic
3,Torino,Radonjic
3,Torino,Aina
3,Torino,Linetty
3,Torino,Ricci S.
3,Torino,Singo
